Wall time,Step,Value
1630879713.26092,0,0.05858856439590454
1630881541.1746325,1,0.05092734098434448
1630883345.9296412,2,0.04875435307621956
1630885167.827586,3,0.045935578644275665
1630886960.7369182,4,0.045259032398462296
1630888786.3117762,5,0.04431404545903206
1630890581.083253,6,0.04309384152293205
1630892378.959361,7,0.04183000698685646
1630894172.0033462,8,0.04124794527888298
1630895983.3622944,9,0.040463462471961975
1630897795.336868,10,0.03994046524167061
1630899584.0242038,11,0.03917389363050461
1630901396.24722,12,0.03859897330403328
1630903215.6396441,13,0.03811003640294075
1630905040.400909,14,0.03751266375184059
1630906856.3582847,15,0.03760075941681862
1630908695.6089804,16,0.036868609488010406
1630910496.4619656,17,0.0364561602473259
1630912320.1700451,18,0.0364813432097435
1630914142.1517591,19,0.03601858392357826
1630915969.4341054,20,0.03571610897779465
1630917784.145129,21,0.035586971789598465
1630919593.664595,22,0.03522949665784836
1630921417.8148847,23,0.03521605581045151
1630923251.5058005,24,0.03515686094760895
1630925073.023563,25,0.0346168577671051
1630926890.881365,26,0.03468863293528557
1630928707.1466947,27,0.03409498929977417
1630930438.762508,28,0.03408607840538025
1630932233.3260143,29,0.033765241503715515
1630934054.8028283,30,0.03380236774682999
1630935890.0003152,31,0.03361180052161217
1630937683.247646,32,0.03349703922867775
1630939482.381046,33,0.0333530567586422
1630941288.5396602,34,0.03337465599179268
1630943111.0399582,35,0.03320208191871643
1630944920.8309839,36,0.03289661556482315
1630946781.1644332,37,0.032779842615127563
1630948598.1490607,38,0.03262965753674507
1630950406.679112,39,0.03268921375274658
1630952216.9095924,40,0.032440703362226486
1630953945.2595394,41,0.032260533422231674
1630955584.5348792,42,0.03218071535229683
1630957303.5764604,43,0.032080311328172684
1630959055.8948557,44,0.03193923085927963
1630960825.4804292,45,0.031952887773513794
1630962633.698288,46,0.03167145326733589
1630964488.7136955,47,0.03175915405154228
1630966259.9062607,48,0.031469907611608505
1630968045.587807,49,0.031178642064332962
1630969819.0780418,50,0.031490910798311234
1630971613.641161,51,0.031117083504796028
1630973390.263593,52,0.03114936128258705
1630975193.9322517,53,0.03099014423787594
1630977054.0184908,54,0.030825966969132423
1630978919.4079444,55,0.03066162019968033
1630980731.0102901,56,0.030699806287884712
1630982577.0331903,57,0.03044840134680271
1630984426.5865912,58,0.02967110276222229
1630986285.137547,59,0.029463687911629677
1630988133.4063685,60,0.029297934845089912
1630989994.1949875,61,0.029265450313687325
1630991873.4693558,62,0.029239771887660027
1630993717.3802745,63,0.0290511604398489
1630995581.7647622,64,0.029095308855175972
1630997418.976938,65,0.028894895687699318
1630999242.0832434,66,0.02882908098399639
1631001117.5352952,67,0.028807858005166054
1631002971.169789,68,0.02872210368514061
1631004832.7319052,69,0.028727641329169273
1631006673.2175128,70,0.028632398694753647
1631008562.8383963,71,0.02849643863737583
1631010423.529551,72,0.028480153530836105
1631012302.0046184,73,0.02837762050330639
1631014170.7857761,74,0.02800329402089119
1631016035.5448842,75,0.027872400358319283
1631017910.1263309,76,0.027842950075864792
1631019773.089361,77,0.027741121128201485
1631021636.3784873,78,0.02776101976633072
1631023492.6682265,79,0.027684709057211876
1631025352.007511,80,0.027638694271445274
1631027196.4773371,81,0.02763184905052185
1631029072.2632825,82,0.027581285685300827
1631030911.0257015,83,0.027491210028529167
1631032787.2745633,84,0.02745603397488594
1631034662.8617828,85,0.027445252984762192
1631036515.263806,86,0.027374448254704475
1631038392.6301956,87,0.027319442480802536
1631040261.3619967,88,0.02732173167169094
1631042134.9854252,89,0.02731700986623764
1631043979.9584618,90,0.02729976736009121
1631045852.5558178,91,0.027252431958913803
1631047689.7268302,92,0.027206677943468094
1631049550.9526534,93,0.027155281975865364
