Wall time,Step,Value
1630879713.2641456,0,0.6440850496292114
1630881541.1749947,1,0.6513538956642151
1630883345.929845,2,0.6572859883308411
1630885167.82782,3,0.6612457633018494
1630886960.7385752,4,0.6627957820892334
1630888786.3120656,5,0.6688957214355469
1630890581.0851054,6,0.6712937355041504
1630892378.9595015,7,0.6730682253837585
1630894172.0050716,8,0.6802733540534973
1630895983.3629131,9,0.6796336770057678
1630897795.3386607,10,0.6834163665771484
1630899584.024488,11,0.689854085445404
1630901396.24898,12,0.6897451281547546
1630903215.6399796,13,0.690547525882721
1630905040.4033916,14,0.6960664391517639
1630906856.3594365,15,0.6898883581161499
1630908695.6107228,16,0.6993374824523926
1630910496.4622436,17,0.696656346321106
1630912320.1714444,18,0.7044913172721863
1630914142.1520655,19,0.7056229710578918
1630915969.435247,20,0.7042274475097656
1630917784.1454709,21,0.7069505453109741
1630919593.664763,22,0.7084935903549194
1630921417.8152926,23,0.710838794708252
1630923251.5076206,24,0.7070999145507812
1630925073.0242236,25,0.7133194804191589
1630926890.8815072,26,0.7111825942993164
1630928707.147013,27,0.7128819227218628
1630930438.7641633,28,0.7137033343315125
1630932233.3261654,29,0.7173138856887817
1630934054.803151,30,0.7191838622093201
1630935890.0007071,31,0.7169113755226135
1630937683.247905,32,0.7196376919746399
1630939482.3814504,33,0.7190694212913513
1630941288.5398147,34,0.72027188539505
1630943111.0401335,35,0.7222681045532227
1630944920.8312008,36,0.7210151553153992
1630946781.164579,37,0.7227951884269714
1630948598.149253,38,0.7218062281608582
1630950406.6792192,39,0.7195987105369568
1630952216.9097133,40,0.7247982025146484
1630953945.260209,41,0.7258459329605103
1630955584.5350199,42,0.7252665162086487
1630957303.5766182,43,0.7252827286720276
1630959055.8950083,44,0.7252449989318848
1630960825.480645,45,0.7252236604690552
1630962633.6983905,46,0.7264381051063538
1630964488.7138753,47,0.7263086438179016
1630966259.9063802,48,0.7283679842948914
1630968045.587915,49,0.7221028804779053
1630969819.078214,50,0.72801274061203
1630971613.6412988,51,0.7272860407829285
1630973390.2636976,52,0.7287676334381104
1630975193.9324667,53,0.729133665561676
1630977054.018608,54,0.7280791401863098
1630978919.4080539,55,0.7262278199195862
1630980731.0104542,56,0.7291339635848999
1630982577.0332916,57,0.7311409711837769
1630984426.586767,58,0.7306879162788391
1630986285.1376522,59,0.7318136692047119
1630988133.4064772,60,0.7306072115898132
1630989994.195116,61,0.7306729555130005
1630991873.4695814,62,0.7306734919548035
1630993717.3803768,63,0.7310552000999451
1630995581.7649758,64,0.7321186661720276
1630997418.977039,65,0.7317914962768555
1630999242.083358,66,0.7325654029846191
1631001117.5356638,67,0.7313288450241089
1631002971.1699228,68,0.7326578497886658
1631004832.7320318,69,0.7335704565048218
1631006673.217629,70,0.732770562171936
1631008562.838684,71,0.7315797805786133
1631010423.5296652,72,0.7335227727890015
1631012302.0047421,73,0.733307421207428
1631014170.7860649,74,0.7324200868606567
1631016035.544992,75,0.7330928444862366
1631017910.1264973,76,0.7335588932037354
1631019773.089488,77,0.7336337566375732
1631021636.3785927,78,0.7341461181640625
1631023492.6683474,79,0.7329797744750977
1631025352.0076697,80,0.7324514389038086
1631027196.477516,81,0.7351183295249939
1631029072.2634115,82,0.7326245307922363
1631030911.0258079,83,0.7333129644393921
1631032787.2747755,84,0.7346748113632202
1631034662.8618987,85,0.7323209643363953
1631036515.2639115,86,0.7343896627426147
1631038392.6303487,87,0.7341379523277283
1631040261.3621094,88,0.7347849011421204
1631042134.9856906,89,0.7336132526397705
1631043979.9588206,90,0.7332057356834412
1631045852.5559804,91,0.7348349094390869
1631047689.726963,92,0.733067512512207
1631049550.9528005,93,0.7326463460922241
