Img,Min,Max,Mean,Black Rows,Black cols,Next img,RMSE
ART_2020001_160021.FR,1.1344603,105.94932,26.684742,0,0,ART_2020001_161021.FR,12.53031
ART_2020001_161021.FR,2.239281,107.04016,26.793245,0,0,ART_2020001_162021.FR,12.710512
ART_2020001_162021.FR,1.8649106,106.782524,26.955935,0,0,ART_2020001_163021.FR,12.891133
ART_2020001_163021.FR,2.6147437,108.072395,27.120354,0,0,ART_2020001_164021.FR,13.042263
ART_2020001_164021.FR,1.9216597,109.926025,27.265196,0,0,ART_2020001_165021.FR,13.15436
ART_2020001_165021.FR,2.1665115,112.12317,27.410767,0,0,ART_2020001_170021.FR,13.233952
ART_2020001_170021.FR,2.4063296,114.501854,27.53489,0,0,ART_2020001_171021.FR,13.337189
ART_2020001_171021.FR,2.2180774,117.196655,27.665081,0,0,ART_2020001_172021.FR,13.395227
ART_2020001_172021.FR,2.4126475,120.253716,27.80375,0,0,ART_2020001_173021.FR,13.441783
ART_2020001_173021.FR,2.2286136,123.30718,27.941095,0,0,ART_2020001_174021.FR,13.497709
ART_2020001_174021.FR,1.6994135,127.1133,28.118885,0,0,ART_2020001_175021.FR,13.530307
ART_2020001_175021.FR,2.794737,131.52951,28.293175,0,0,ART_2020001_180021.FR,13.59641
ART_2020001_180021.FR,1.8993018,137.01457,28.496544,0,0,ART_2020001_181021.FR,13.637293
ART_2020001_181021.FR,2.216351,141.61447,28.697393,0,0,ART_2020001_182021.FR,13.742446
ART_2020001_182021.FR,2.2975402,147.24551,28.947216,0,0,ART_2020001_183021.FR,13.805797
ART_2020001_183021.FR,2.138235,155.43954,29.20418,0,0,ART_2020001_184021.FR,13.939736
ART_2020001_184021.FR,1.7706382,162.15091,29.46591,0,0,ART_2020001_185021.FR,14.114083
ART_2020001_185021.FR,1.4103956,173.52127,29.67545,0,0,ART_2020001_190021.FR,14.188051
ART_2020001_190021.FR,2.4253037,180.28062,29.634106,0,0,ART_2020001_191021.FR,14.220393
ART_2020001_191021.FR,2.5303218,192.9793,29.275225,0,0,ART_2020001_192021.FR,14.05748
ART_2020001_192021.FR,2.2173073,201.33119,28.763348,0,0,ART_2020001_193021.FR,13.906859
ART_2020001_193021.FR,2.1129053,216.15065,28.307758,0,0,ART_2020001_194021.FR,13.786546
ART_2020001_194021.FR,2.3286843,217.67368,28.013054,0,0,ART_2020001_195021.FR,13.717182
ART_2020001_195021.FR,1.8589282,213.955,27.813148,0,0,ART_2020001_200021.FR,13.745959
ART_2020001_200021.FR,2.105402,236.12386,27.678207,0,0,ART_2020001_201021.FR,13.783189
ART_2020001_201021.FR,2.2921464,268.85565,27.561924,0,0,ART_2020001_202021.FR,13.815302
ART_2020001_202021.FR,1.857814,277.90628,27.446554,0,0,ART_2020001_203021.FR,13.894935
ART_2020001_203021.FR,2.2996144,311.5593,27.306547,0,0,ART_2020001_204021.FR,13.990075
ART_2020001_204021.FR,2.1572871,319.67978,27.093775,0,0,ART_2020001_205021.FR,14.086173
ART_2020001_205021.FR,1.7477429,320.5319,26.7483,0,0,ART_2020001_210021.FR,14.369061
ART_2020001_210021.FR,2.485545,401.99725,26.190615,0,0,ART_2020001_211021.FR,14.432711
ART_2020001_211021.FR,2.49502,379.4622,25.36028,0,0,ART_2020001_212021.FR,14.704476
ART_2020001_212021.FR,2.1875026,396.85495,23.960299,0,0,ART_2020001_213021.FR,15.015322
ART_2020001_213021.FR,0.0,416.73166,22.06474,0,0,ART_2020001_214021.FR,13.642147
ART_2020001_214021.FR,0.0,438.19012,20.038637,0,0,ART_2020001_215021.FR,12.1828985
ART_2020001_215021.FR,0.0,295.81714,18.192858,0,0,ART_2020001_220021.FR,10.768689
